Year,Party,Current_Party_Name,Total_Seats,CONTESTED,WON,FD,VOTES,Total_Voters
1951,INC,INC,489,479,364,4,47665951,105950083
1951,CPI,CPI,489,49,16,8,3487401,105950083
1951,BJS,BJP,489,94,3,49,3246361,105950083
1957,INC,INC,494,490,371,2,57579589,120513915
1957,PSP,BJP,494,189,19,55,12542666,120513915
1957,CPI,CPI,494,110,27,16,10754075,120513915
1957,BJS,BJP,494,130,4,57,7193267,120513915
1962,INC,INC,494,488,361,3,51509084,119904284
1962,CPI,CPI,494,137,29,26,11450037,119904284
1962,SWA,BJP,494,173,18,75,9085252,119904284
1962,PSP,BJP,494,168,12,69,7848345,119904284
1962,BJS,BJP,494,196,14,114,7415170,119904284
1967,INC,INC,520,516,283,7,59490701,152724611
1967,BJS,BJP,520,249,35,112,13580935,152724611
1967,SWA,BJP,520,178,44,87,12646847,152724611
1967,CPI,CPI,520,109,23,41,7458396,152724611
1967,CPI(M),CPI(M),520,59,19,13,6246522,152724611
1967,PSP,BJP,520,109,13,75,4456487,152724611
1971,INC,INC,518,441,352,4,64033274,151536802
1971,NCO,BJP,518,238,16,114,15285851,151536802
1971,BJS,BJP,518,157,22,45,10777119,151536802
1971,CPI(M),CPI(M),518,85,25,31,7510089,151536802
1971,CPI,CPI,518,87,23,33,6933627,151536802
1971,SWA,BJP,518,59,8,18,4497988,151536802
1971,PSP,BJP,518,63,2,52,1526076,151536802
1977,JNP,BJP,542,405,295,5,78062828,194263915
1977,INC,INC,542,492,154,18,65211589,194263915
1977,CPI(M),CPI(M),542,53,22,9,8113659,194263915
1977,CPI,CPI,542,91,7,68,5322088,194263915
1977,NCO,BJP,542,19,3,0,3252217,194263915
1980,INC,INC,542,492,353,7,84455313,202752893
1980,JNP,BJP,542,433,31,116,37530228,202752893
1980,CPI(M),CPI(M),542,64,37,9,12352331,202752893
1980,CPI,CPI,542,47,10,17,4927342,202752893
1984,INC,INC,541,517,414,5,120107044,256294963
1984,BJP,BJP,541,229,2,112,18466137,256294963
1984,JNP,BJP,541,219,10,132,16630596,256294963
1984,CPI(M),CPM,541,64,22,9,14272526,256294963
1984,CPI,CPI,541,66,6,33,6733117,256294963
1989,INC,INC,529,510,197,5,118894702,309050495
1989,JD,JD,529,244,143,29,53518521,309050495
1989,BJP,BJP,529,225,85,88,34171477,309050495
1989,CPI(M),CPI(M),529,64,33,5,19691309,309050495
1989,CPI,CPI,529,50,12,20,7734697,309050495
1991,INC,INC,534,500,244,60,101285692,285856465
1991,BJP,BJP,534,477,120,189,55843074,285856465
1991,JD,JD,534,312,59,150,32628400,285856465
1991,CPI(M),CPI(M),534,63,35,8,17074699,285856465
1991,JNP,BJP,534,350,5,310,9295062,285856465
1991,CPI,CPI,534,43,14,16,6898340,285856465
1996,INC,INC,543,529,140,127,96455493,343308090
1996,BJP,BJP,543,471,161,180,67950851,343308090
1996,JD,JD,543,196,46,85,27070340,343308090
1996,CPI(M),CPI(M),543,75,32,22,20496810,343308090
1996,CPI,CPI,543,43,12,22,6582263,343308090
1996,JNP,BJP,543,101,0,100,631021,343308090
1998,INC,INC,543,477,141,153,95111131,375441739
1998,BJP,BJP,543,388,182,57,94266188,375441739
1998,CPI(M),CPI(M),543,71,32,20,18991867,375441739
1998,BSP,BSP,543,251,5,176,17186779,375441739
1998,JD,JD,543,191,6,156,11930209,375441739
1998,CPI,CPI,543,58,9,40,6429569,375441739
1999,INC,INC,543,453,114,88,103120330,371669104
1999,BJP,BJP,543,339,182,24,86562209,371669104
1999,CPI(M),CPI(M),543,72,33,20,19695767,371669104
1999,BSP,BSP,543,225,14,154,15175845,371669104
1999,CPI,CPI,543,54,4,39,5395119,371669104
2004,INC,INC,543,417,145,82,103408949,389948330
2004,BJP,BJP,543,364,138,57,86371561,389948330
2004,CPI(M),CPI(M),543,69,43,15,22070614,389948330
2004,BSP,BSP,543,435,19,358,20765229,389948330
2004,NCP,NCP,543,32,9,10,7023175,389948330
2004,CPI,CPI,543,34,10,19,5484111,389948330
2009,INC,INC,543,440,206,71,119111019,389948330
2009,BJP,BJP,543,433,116,170,78435381,389948330
2009,BSP,BSP,543,500,21,410,25728920,389948330
2009,CPI(M),CPI(M),543,82,16,29,22219111,389948330
2009,NCP,NCP,543,68,9,42,8521502,389948330
2009,CPI,CPI,543,56,4,41,5951888,389948330
2014,BJP,BJP,543,428,282,62,171660230,554175255
2014,INC,INC,543,464,44,178,106935942,554175255
2014,BSP,BSP,543,503,0,447,22946346,554175255
2014,CPI(M),CPI(M),543,93,9,50,17988955,554175255
2014,NCP,NCP,543,36,6,13,8635558,554175255
2014,CPI,CPI,543,67,1,57,4327460,554175255
2019,BJP,BJP,543,436,303,,228557809,610834049
2019,INC,INC,543,422,52,,119558318,610834049
2019,BSP,BSP,543,382,10,,22256938,610834049
2019,CPI(M),CPI(M),543,70,3,,10744779,610834049
2019,NCP,NCP,543,34,5,,8497779,610834049
2019,CPI,CPI,543,51,2,,3606910,610834049
